,title,artist,lyric
0,어떤 말도 우릴 설명할 수 없죠,주예인,"오늘 밤 우리의 사랑이 끝난다면
어떤 모습일까
너와 나의 계절이 흩어져 사라지면
눈부신 우리들의 기억이

오늘이 지나고 내일이 되면 다시 찾을 수 있을까
차마 더는 보고 싶다고 할 수도 없는
이런 나의 마음을 그대 알아줄까요

어떤 말도 우릴 설명할 수 없죠
시간이 흘러도
밤새 나누던 얘기 함께 나눴던 약속들도
그저 기억해 주길 바라요

수많은 계절을 보내고 나면
그땐 놓을 수 있을까 우릴
문득 그대 보고 싶어지는 날엔
쏟아지는 생각에 그냥 울고만 싶죠

어떤 말도 우릴 설명할 수 없죠
시간이 흘러도
밤새 나누던 얘기 함께 나눴던 약속들도
오래 기억해 주길 바랄게요

우리의 색이 바래져가도
사랑한 순간만큼 내가 모두 담아 갈게요
우리의 모든 시간들을
그댈 기억할게요"
1,cat and mouse (feat. 전예찬),루카스 (Lucas),"헷갈리게 하지 마
Baby close to me
자꾸 반응하잖아
Just feel so high feel so high
애태우려 하지 마
Baby come to me
너도 날 원하잖아
I know you girl know you girl

언제 올지 모를 답장을 기다리다
지쳐 먼저 전화를 걸어
웃으며 미안하단 너의 말에
우린 또 몇 시간 동안 통화를 해

Oh 네 맘을 모르겠어 난
I’m waiting for you
더 달콤하게 속삭여 제발 날 혼자 두지 마
Yeah eh

헷갈리게 하지 마
Baby close to me
자꾸 반응하잖아
Just feel so high feel so high
애태우려 하지 마
Baby come to me
너도 날 원하잖아
I know you girl know you girl

Don’t play with me
Don’t play cat and mouse
Don’t play with me
La la la La la la

Don’t play with me
Don’t play cat and mouse
Don’t play with me
La la la La la la

Oh 솔직하게 말해 이젠
I know you want me too
더 달콤하게 속삭여 내 심장 견딜 수 없게
Yeah eh

헷갈리게 하지 마
Baby close to me
자꾸 반응하잖아
Just feel so high feel so high
애태우려 하지 마
Baby come to me
너도 날 원하잖아
I know you girl know you girl

Don’t play with me
Don’t play cat and mouse
Don’t play with me
La la la La la la

Don’t play with me
Don’t play cat and mouse
Don’t play with me
La la la La la la"
2,소나기 (feat. 예빛),SHUYA,"잠깐 내린 비에
네가 보고 싶어진 게 우습지
우산을 두드리는 빗소리보다
더 시끄러워진 내 마음
참 유난인 거 알아
여태 널 그리워하는 게
나도 너를 떠올리기 싫어
이까짓 날씨 하나에
이 비가 그치고 나면
나를 괴롭히는 너의 잔상도
모두 다 사라져 있을 거야
널 잃고 나약해진 나
몇 방울에 젖어 흐물거리는 나
알지 말아 줘
모두 흘려보내 줘"
3,구름도 아니고,Kinn (킨),"한 번도 말해 본 적 없었어
혹시 들킬까 봐 난
도대체 어떡해야 할지
나도 잘 모르겠어 정말

조금 티 나는 표현들도
아는 듯 모르는 듯한 네 표정
그냥 친구로만 보일까 봐서
발만 구르게 돼

널 잡아보려고 손을 뻗어봐도
잡힐 듯 말 듯 넌 마치 하얀 구름 같이

널 잡아보려고 조급해진 마음도
장난처럼 느끼는 너

때론 재미없는 얘기 마저
웃어 주는 너의 모습에 더
의미 없는 말도 괜히 꺼내보고
머쓱하게 만들었어

싫어하는 것처럼 보이진 않아
혹시 너도 같을까
조금 더 다가가 볼까 너에게

조금 티 나는 표정들도
알면서 모르는 척하는 건지
그냥 혼자만의 착각일까 봐
마음만 초조해져

널 잡아보려고 손을 뻗어봐도
잡힐 듯 말 듯 넌 마치 하얀 구름 같이

널 잡아보려고 조급해진 마음도
장난처럼 느끼는 너"
4,Nothin' Without You,행성,"How can i live without your love?
Cuz I’m nothin’ without you.
How can i live without your love?
I’m nothin‘ without...


Oh I just wanna hold you tight.
Even if you say ‘get away from me’.

Oh I just wanna let you know
How much you mean to me.


Please say that you love me.
Cuz i need you. stay with me.
Oh my whole life is you
So haven’t you thought about that?


How can i live without your love?
Cuz I’m nothin’ without you.
How can i live without your love?
I’m nothin‘ without...


Simple text and a call away,
Take a walk in the sunday morning.
i feel love like this little things.
all true love is evergreen
So, could you do that my darling?

How can i live without our love?
Cuz I’m nothin’ without you.
How can i live without our love?
I’m nothin‘ without...

How can i live without our love?
Cuz I’m nothin’ without you.
How can i live without our love?
I’m nothin‘ without you.
I’m nothin’ without you.
I’m nothin‘ without you."
5,재연배우 (Feat. 안재우),Inf,"벌써 2년이 지났나
사실 기억도 안 나
난 내가 말한 대로 살아
정말 행복하지만
가끔은 힘이 빠져 왜일까
네가 없어서일까
네가 이리도 컸나
이렇게 중요했나?
사실 난 네가
좀 많이 보고 싶은 거 같아
혼자 깨는 아침은
아직 어색한 거 같아
난 어떡해야 해
너 없인
울지도 못하는데
난 지금 어떡해야 할까

난 또 찾아야 해 너의 대역을
난 또 찾아야 해 재연배우를
난 또 찾아야 해 너의 대역을
난 또 찾아야 해 재연배우를
키는 너와 비슷했음 해
너와 똑닮아
말투는 상냥했음 해
또 너와 똑닮아
세상에 반이 여자면 뭐해 네가 아니잖아
저기 저 예쁜 여자면 뭐해 네가 아니잖아

또 하루가 이렇게 그냥 지나가고
또 의미 없는 술자리만 찾아다녀
이렇게는 안되겠어 나도
찾아야겠어 나도
내 옆자리를 꽉
채워줄 사람을 말이야
너랑 자주 갔던 길을 빌려
다른 사람도 만나곤 했지
너랑 자주 갔던 맛집들도
자주 애용하곤 했지
처음 와본 척도 잘해 난
여기 진짜 너무 맛있다
자주 와서 먹어야겠다
분위기도 너무 좋다
물론 이 여자 애도 예뻐
너에게 안 꿀려
부족한 거 없어 하나도
긴 머리도 예뻐
몸매도 안 꿀려
부족한 거 없어 하나도
근데 왜 너와 다른 점이
하나라도 보이면
다시 네가 생각이 나는 걸까 난

난 또 찾아야 해 너의 대역을
난 또 찾아야 해 재연배우를
난 또 찾아야 해 너의 대역을
난 또 찾아야 해 재연배우를
키는 너와 비슷했음 해
너와 똑닮아
말투는 상냥했음 해
또 너와 똑닮아
세상에 반이 여자면 뭐해 네가 아니잖아
저기 저 예쁜 여자면 뭐해 네가 아니잖아"
6,구름,박서하,"이 어두운 방안에 드리워진 네 그림자
어지럽혀진 내 생각, 그리고 너

우두커니 앉아서
방 천장을 올려다보니

빼곡히 고여있는
이곳의 날씨의 지배자

이대로가 내게 좋을까
괜찮을 것 같진 않지만
너는 내게 구름이 되어
감싸네

구름아 구름아 구름아 날 봐다오
구름아 구름아 구름아 날 봐다오"
7,Study Of Love(Song by SIYA),HEADY,"This is a huge feeling with a fixed time limit.
I measured you over and over again and again

Did you even like me? Did you even love me?
I'm feeling it love you.
I can't touch it, I can't see it

If this isn't love, what is it?
Are you going to learn love?
Can't you just do what you want?
If this isn't love

what is it?


Will it be the same as before
when we'll see each other again?
You were watching until I went away.
until the end

Did you even like me? Did you even love me?
i feeling it is now.
I can't hear it, I can't feel it

If this isn't love, what is it?
Are you going to learn love?
Can't you just do what you want?
If this isn't love

what is it?"
8,3am,시음 (Sieum),"12시 지나버린 이 밤에
아직도 잠 못든 채 깨있고
끝내야 할 일이 많은 이 새벽 밤에
나 너와 해 뜨길 기다려

지금은 새벽 세시
모두가 잠든 밤
차가운 공기
여명을 기다리는

나 세벽 세시
우리가 사는 밤
시원한 공기
여명을 맞이하는 너

아침을 기다리는 이 밤에
졸린눈 비몽사몽 깨있고
달빛이 유난히 밝은 이 새벽 밤에
둘이서 해 뜨길 기다려

지금은 새벽 세시
모두가 잠든 밤
차가운 공기
여명을 기다리는

나 세벽 세시
우리가 사는 밤
시원한 공기
여명을 맞이하는 너"
9,Like you used to,jumin,"I’m praying for this love we got
Might be made for this love we not
Anyway you’ll be the only part
Either ways can be the only part
Wish you better dreams every night
Wish you stand on your every height
Wish I could be the only one in kind
Wish we could never fall in love with the world
Just wanna get on to you
Just wanna get up with you
Just wanna be all in two
Just wanna be all of your
On to you
Just wanna get up with you
Just wanna be all in two
Just wanna be all of your
I’m praying for this love we got
Might be made for this love we not
Anyway you’ll be the only part
Either ways can be the only part
Wish you better dreams every night
Wish you stand on your every height
Wish I could be the only one in kind
Wish we could never fall in love with the world
You slide on my phone like you used to
For the days I cried on my own, I get loose too
Sometimes you break my chambers into like Bruce do
Recombination professional, you’re coastal
You slide on my body like you used to
For the days I cried on my own, I get loose too
Sometimes you break my chambers into like Bruce do
Recombination professional, you’re coastal
Just wanna get on to you
Just wanna get up with you
Just wanna be all in two
Just wanna be all of your
On to you
Just wanna get up with you
Just wanna be all in two
Just wanna be all of your
You slide on my phone like you used to
For the days I cried on my own, I get loose too
Sometimes you break my chambers into like Bruce do
Recombination professional, you’re coastal
You slide on my body like you used to
For the days I cried on my own, I get loose too
Sometimes you break my chambers into like Bruce do
Recombination professional, you’re coastal"
