,title,artist,lyric
0,LURE,I.M (아이엠),"Give me all your time cause I can’t hide
Keep it on the low
Keep it on the low yeh
Sip me like a wine I’ll treat you right
Pour it more
Till we slip the floor

참아 봐도 지금의 감정 can’t let go
너도 알잖아 우리의 tempo
Think I’m so addicted to your scent
But your attitude is so wicked
No need to lie, now feel me like you’re blind

But I can’t take it off yeah
But I can’t take it off yeah
Tell me babe is it a crime?
One bite, I can’t satisfy
keep it on the low
But I want ’em to know for sure

Give me all your time cause I can’t hide
Keep it on the low
Keep it on the low yeh
Sip me like a wine I’ll treat you right
Pour it more
Till we slip the floor


어제 했던 말들은 모두 다
기억하지만 maybe you forgot
I’ll make you remember
Everything bout tonight
Deep breath, all messed
Now I can read your sign

어서 말해봐 내게
원하는 게 뭔지, 없다면 난 teach it
올라간 너의 체온 I feel it
I’ll keep it a secret
Imma keep you lifted

오묘해진 우리의 눈빛
말을 하지 않아도 굳이
No need to lie
Now feel me like you’re blind

But I can’t take it off yeah
But I can’t take it off yeah
Tell me babe is it a crime?
One bite, I can’t satisfy
keep it on the low
But I want ’em to know for sure

Give me all your time cause I can’t hide
Keep it on the low
Keep it on the low yeh
Sip me like a wine I’ll treat you right
Pour it more
Till we slip the floor

Want ’em to know for sure
Can’t keep it on the low
Babe can you love me out loud"
1,Take Me Away (Feat. g1nger),CHANNEL 201,"I never told you
서투른 고백과
낯선 표정 채워진
모든게 미지의 너

The first time I saw you,
아마 우린 알았던거야
Baby Take me away

모두가 잠든 밤이면
유난히 보고싶어 널
아무도 우릴 찾지못하게 해

무엇도 원하지않게
이제 너에게 말할래
깨질것 같은 두려움도 이제

데려가줘 네 세계로
날 안고서 baby 입맞춰줘

데려가줘 네 세계로
날 안고서 baby 입맞춰줘

데려가줘 날 너의 세계로

더 고민하기 전에
비집고 들어갈 틈에
더는 바랄것도 없게

그저 흘러가 다 망가질거야

들어가게 해줘 날
나중이란 말은 마
i really need you,baby
please don’t leave me here

i want to fall in
i want to be with-you
i want to fall in
i want to be with-you

데려가줘 네 세계로
날 안고서 baby 입맞춰줘

데려가줘 네 세계로
날 안고서 baby 입맞춰줘"
2,cat and mouse (feat. 전예찬),루카스 (Lucas),"헷갈리게 하지 마
Baby close to me
자꾸 반응하잖아
Just feel so high feel so high
애태우려 하지 마
Baby come to me
너도 날 원하잖아
I know you girl know you girl

언제 올지 모를 답장을 기다리다
지쳐 먼저 전화를 걸어
웃으며 미안하단 너의 말에
우린 또 몇 시간 동안 통화를 해

Oh 네 맘을 모르겠어 난
I’m waiting for you
더 달콤하게 속삭여 제발 날 혼자 두지 마
Yeah eh

헷갈리게 하지 마
Baby close to me
자꾸 반응하잖아
Just feel so high feel so high
애태우려 하지 마
Baby come to me
너도 날 원하잖아
I know you girl know you girl

Don’t play with me
Don’t play cat and mouse
Don’t play with me
La la la La la la

Don’t play with me
Don’t play cat and mouse
Don’t play with me
La la la La la la

Oh 솔직하게 말해 이젠
I know you want me too
더 달콤하게 속삭여 내 심장 견딜 수 없게
Yeah eh

헷갈리게 하지 마
Baby close to me
자꾸 반응하잖아
Just feel so high feel so high
애태우려 하지 마
Baby come to me
너도 날 원하잖아
I know you girl know you girl

Don’t play with me
Don’t play cat and mouse
Don’t play with me
La la la La la la

Don’t play with me
Don’t play cat and mouse
Don’t play with me
La la la La la la"
3,구름도 아니고,Kinn (킨),"한 번도 말해 본 적 없었어
혹시 들킬까 봐 난
도대체 어떡해야 할지
나도 잘 모르겠어 정말

조금 티 나는 표현들도
아는 듯 모르는 듯한 네 표정
그냥 친구로만 보일까 봐서
발만 구르게 돼

널 잡아보려고 손을 뻗어봐도
잡힐 듯 말 듯 넌 마치 하얀 구름 같이

널 잡아보려고 조급해진 마음도
장난처럼 느끼는 너

때론 재미없는 얘기 마저
웃어 주는 너의 모습에 더
의미 없는 말도 괜히 꺼내보고
머쓱하게 만들었어

싫어하는 것처럼 보이진 않아
혹시 너도 같을까
조금 더 다가가 볼까 너에게

조금 티 나는 표정들도
알면서 모르는 척하는 건지
그냥 혼자만의 착각일까 봐
마음만 초조해져

널 잡아보려고 손을 뻗어봐도
잡힐 듯 말 듯 넌 마치 하얀 구름 같이

널 잡아보려고 조급해진 마음도
장난처럼 느끼는 너"
4,Nothin' Without You,행성,"How can i live without your love?
Cuz I’m nothin’ without you.
How can i live without your love?
I’m nothin‘ without...


Oh I just wanna hold you tight.
Even if you say ‘get away from me’.

Oh I just wanna let you know
How much you mean to me.


Please say that you love me.
Cuz i need you. stay with me.
Oh my whole life is you
So haven’t you thought about that?


How can i live without your love?
Cuz I’m nothin’ without you.
How can i live without your love?
I’m nothin‘ without...


Simple text and a call away,
Take a walk in the sunday morning.
i feel love like this little things.
all true love is evergreen
So, could you do that my darling?

How can i live without our love?
Cuz I’m nothin’ without you.
How can i live without our love?
I’m nothin‘ without...

How can i live without our love?
Cuz I’m nothin’ without you.
How can i live without our love?
I’m nothin‘ without you.
I’m nothin’ without you.
I’m nothin‘ without you."
5,Where am I (Sung by RIPLEY),looseeasy (루지),"I started to see the stuff that I couldn’t see
Got to learn how to face time and know its feel

Was I just going along without noticing
Didn’t even know where I was all alone

How far have I come until now
Have I done it right somehow
Took My own voyage, in my own way
I never doubted myself, no way
As if, the flower’s gonna bloom soon

While they keep telling me it’s fallen
I’m sure I’m on the right path
But Will I ever know how far I’ve come


How far have I come until now
Have I done it right somehow
Took My own voyage, in my own way
I never doubted myself, no way
As if, the flower’s gonna bloom soon

While they keep telling me it’s fallen
I’m sure I’m on the right path
But Will I ever know how far I’ve come"
6,내 마음 안에 넌 변하지 않는 거야,SO HYUN,"너와 나 같이 걸을 때
큰 시련이 찾아와도
내 마음 안에 넌 변하지 않는 거야
언제부턴가 넌 내 안에 자릴 잡아서
하루하루씩 넌 더 소중해져
사실 나도 안 진 며칠이 안 됐어
가끔 기억나
너와 머물렀던 익숙한 거리
혼자 잠들었던 너
따라가고 싶어 울었던
난 이제 네 맘을 알 것 같아
내가 좀 그래
서툴고 어색하기만 하던 밤
여전히 그대로지만
그때 네가 옆에 있어서
난 웃을 수가 있었어
혼자 남겨진 이 하루에
네가 있음 좋겠단 생각을 해
항상 넌 내 마음에 살고 있어서
진짜 네가 없단 게
주체가 안 돼
그래 우리 함께 걷곤 했었지 달이 뜰 때까지
내가 맞출게 네가 좋아하는 것들까지
네가 아닌 누구와 마주할 수 있을까
너무 늦어버린 난
가끔 기억나 너와 머물렀던 익숙한 거리
혼자 잠들었던 너
따라가고 싶어 울었던
난 이제 네 맘을 알 것 같아
내가 좀 그래
서툴고 어색하기만 하던 밤
여전히 그대로지만
그때 네가 옆에 있어서
난 웃을 수가 있었어
너와 나 같이 걸을 때
큰 시련이 찾아와도
내 마음 안에 넌 변하지 않는 거야"
7,세상에서 가장 긴 플레이리스트,이용신,"집에 돌아가는 버스 안
여느 때와 같은 자리에 앉아 oh yeah –
유난히 밝은 창밖의 조명 oh
대체 왜


나 그냥 주머니 속 폰 꺼내
오래된 이어폰 연결하고
세상에서 가장 긴 playlist 찾아서
푹 빠져 들을 거야
나 아무 생각 하기 싫어


노래를 멈출 수가 없어
이별을 체감할 것 같아서
내 마음이 준비될 때
생각할 수 있을 때
그때야 난 이 노랠
끝낼 수 있을 것 같아


집에 돌아가는 버스 안
오늘따라 짧게 느껴지네
내리고 싶지 않은 데
유난히 시끄러운 사람들 소리 Oh
노래에 집중할 수가 없잖아


볼륨을 올려 아프도록
머릿속엔 멜로디 말고는 어떤 것도
들어올 수 없게
나 아무 생각 하기 싫어


노래를 멈출 수가 없어
이별을 체감할 것 같아서
내 마음이 준비될 때
생각할 수 있을 때
그때야 난 이 노랠
끝낼 수 있을 것 같아"
8,Day Off,Holynn,"I’ve been starrin’ at you for no reason
It’s already 8:35
I don’t wanna miss the little things with you
So I’ll be quiet

Even though it makes you a little angry
I can’t help but not wake you up
Gonna make it last a little longer
Gosh, you’re so divine

I’m trying
Babe I’m trying hard to like you a little less
Cause I can get a little selfish
당연한 듯이 널 곁에만
두고 싶어지는걸 난
You have to know

Cause you’re the one I want
Girl 뭐든지 다 말해
All you have to do is just stay in my bed
Don’t worry about the money
That’s why I work hard babe
That’s all I want from you
Let me enjoy this view

Let’s have a day off
I’ve turned my phone off
Just one day off
That’s all I want from you
Let me enjoy this view
My girl

Let me show you how much I adore you
Let me show you how much I care
Let’s just stay right here you and me
Don’t need nobody else

My life has made me hard but
I can’t help and melt like butter
When I’m with you
As soon as I’m with you

I’m trying
Babe I’m trying hard to like you a little less
Cause I can get a little selfish

당연한 듯이 널 곁에만
두고 싶어지는걸 난
You have to know

Cause you’re the one I want
Girl 뭐든지 다 말해
All you have to do is just stay in my bed
Don’t worry about the money
That’s why I work hard babe
That’s all I want from you
Let me enjoy this view

Let’s have a day off
I’ve turned my phone off
Just one day off
That’s all I want from you
Let me enjoy this view
My girl"
9,재연배우 (Feat. 안재우),Inf,"벌써 2년이 지났나
사실 기억도 안 나
난 내가 말한 대로 살아
정말 행복하지만
가끔은 힘이 빠져 왜일까
네가 없어서일까
네가 이리도 컸나
이렇게 중요했나?
사실 난 네가
좀 많이 보고 싶은 거 같아
혼자 깨는 아침은
아직 어색한 거 같아
난 어떡해야 해
너 없인
울지도 못하는데
난 지금 어떡해야 할까

난 또 찾아야 해 너의 대역을
난 또 찾아야 해 재연배우를
난 또 찾아야 해 너의 대역을
난 또 찾아야 해 재연배우를
키는 너와 비슷했음 해
너와 똑닮아
말투는 상냥했음 해
또 너와 똑닮아
세상에 반이 여자면 뭐해 네가 아니잖아
저기 저 예쁜 여자면 뭐해 네가 아니잖아

또 하루가 이렇게 그냥 지나가고
또 의미 없는 술자리만 찾아다녀
이렇게는 안되겠어 나도
찾아야겠어 나도
내 옆자리를 꽉
채워줄 사람을 말이야
너랑 자주 갔던 길을 빌려
다른 사람도 만나곤 했지
너랑 자주 갔던 맛집들도
자주 애용하곤 했지
처음 와본 척도 잘해 난
여기 진짜 너무 맛있다
자주 와서 먹어야겠다
분위기도 너무 좋다
물론 이 여자 애도 예뻐
너에게 안 꿀려
부족한 거 없어 하나도
긴 머리도 예뻐
몸매도 안 꿀려
부족한 거 없어 하나도
근데 왜 너와 다른 점이
하나라도 보이면
다시 네가 생각이 나는 걸까 난

난 또 찾아야 해 너의 대역을
난 또 찾아야 해 재연배우를
난 또 찾아야 해 너의 대역을
난 또 찾아야 해 재연배우를
키는 너와 비슷했음 해
너와 똑닮아
말투는 상냥했음 해
또 너와 똑닮아
세상에 반이 여자면 뭐해 네가 아니잖아
저기 저 예쁜 여자면 뭐해 네가 아니잖아"
