,title,artist,lyric
0,Midas Touch,KISS OF LIFE,"Baby, count 10 That’s all I need
단숨에 빠져들어
(Can’t go back, can’t go back)

Tick-tack, ain’t got no time
턱 끝을 겨누는 Love
(Eat your love, eat your love)

Hey baby, I’ve been watching
널 풀어헤친 달콤한 이 Danger (Danger)
(Baby, I’ve been watching, boy)

Hey baby, I’m so toxic
위험할수록 재밌잖아 It’s alright (Alright)
(Baby, I’ve been watching, boy)

온몸이 원해 넌 나뿐인
아찔한 Lovesick 밤새 날 앓게 돼
I warned you with a single touch, boy
도망쳐봐 어차피 날 벗어날 수 없어

When I touch ya, kiss ya
You’re gon realize
(Baby, don’t you think too much)

Boy, if I touch ya, kiss ya
Watch out 순간 변해버린 눈빛
You see, I got that Midas touch

I really wanna stay all day with you
You know what we’ll be going through?
찾아봐 떨리는 이유
몸부림칠수록 Gettin’ deeper
손짓 한 번으로 Makin' you weaker and weaker

Hey baby, I’m so toxic
위험할수록 재밌잖아 It’s alright (Alright)
(You will end up in my hands my love)

온몸이 원해 넌 나뿐인
아찔한 Lovesick 밤새 날 앓게 돼
I warned you with a single touch, boy
도망쳐봐 어차피 날 벗어날 수 없어

When I touch ya, kiss ya
You’re gon realize
(Baby, don’t you think too much)

Boy, if I touch ya, kiss ya
Watch out 순간 변해버린 눈빛
You see, I got that Midas touch

(Brace! Brace!)
Ain’t gotta sugarcoat me 생각과는 다를 걸
(Brace! Brace!)
My love’s a game, I play with it 너도 원한다면
(Brace! Brace!)
Looking like a kitty cat but 아무도 감당 못 해
Once the countdown’s done You’re never gonna move, yeah

When I touch ya, kiss ya
You’re gon realize
(Baby, don’t you think too much)

Boy, if I touch ya, kiss ya
Watch out 순간 변해버린 눈빛
You see, I got that Midas touch

내게 빠져드는 손짓
You see, I got that Midas touch"
1,Beautiful MAZE,DRIPPIN (드리핀),"I want to back the time
갈라져 버린 우리
끝내질 못해 Why oh
Cuz you’re so special babe

Tell me what you want
벼랑 끝에 있어도
Till the end of day
너와 함께 있을게

I got nowhere to go
전부 잃는다 해도
다시 되돌아갈 수 있어 Baby

It’s beautiful maze
I can’t get out of you (Oh)
You know that I can’t live
Still I’m in love with you (Oh)

수천 번을 되물어도 넌 같아 Why o why
내가 변할게 날 떠나진 말아줘

또 Back again like maze
Still I’m in love with you
Still I’m in love with you

하루에 두 번
아니 매일 밤 I been thinkin’ about you
I was so dumb
그래 욕해도 좋아 내게 와줄래?
이대론 Never go back 이제야 알겠어
I’m in love with you 다 바칠 준비됐어
But you run

Ay 떨어지는 날
I’m drowning in through the night
되돌리고 싶어 다
꿈이길 빌어

It’s beautiful maze
I can’t get out of you (Oh)
You know that I can’t live
Still I’m in love with you (Oh)

수천 번을 되물어도 넌 같아 Why o why
내가 변할게 날 떠나진 말아줘

또 Back again like maze
Still I’m in love with you
Still I’m in love with you

I want it, I pray yeah
너에게 닿길 Uh
You say “Don’t love me”
너 없인 무너져
말없이 부서져

When we fall in the night
기다릴게
Plz comeback and show your smile

It’s beautiful maze
I can’t get out of you (Oh)
You know that I can’t live
Still I’m in love with you (Oh)

수천 번을 되물어도 넌 같아 Why o why
내가 변할게 날 떠나진 말아줘

또 Back again like maze
Still I’m in love with you
Still I’m in love with you

네가 없는 난
Out of mind, out of mind
필요해 당장
Keep in mind, keep in mind
You know that I can’t live
Round and round, round and round
또 여기서 난
Wait and watch and wait and..

네가 없는 난
Out of mind, out of mind
필요해 당장
Keep in mind, keep in mind
You know that I can’t live
Round and round, round and round
또 여기서 난
Wait and watch
You’re my beautiful maze"
2,Siren,RIIZE,"Beat droppin’ low feelin’ up
뒤섞여 봐 완전히 새로운 Flow
Ready or not
순간 울려 대는 Siren
우린 네 심장을 뒤흔드는 Rock

Pull it back, that siren
Pull it back, that siren

Yeah back with a new generation
닳아버린 운동화 다시 Lace up
문을 박차고
Let’s show the world
We don't stop it
연습실 불은 계속 켜있어

See me see me
달라진 조명의 Lights
Warning 뜨거운 눈빛은 Wild
Imma be the one
눈앞에 펼쳐지는
새로워진 Sight

Beat droppin’ low feelin’ up
뒤섞여 봐 완전히 새로운 Flow
Ready or not
순간 울려 대는 Siren
우린 네 심장을 뒤흔드는 Rock

Pull it back, that siren
Pull it back, that siren
서둘러 Hurry hurry
다 모여봐 이리로
We gonna fly high high
자유롭게 더
Pull it back, that siren

Eenie meenie miney moe
거침없이 한 걸음 더
뻔하고 뻔한 흐름은 Say bye bye
Pullin’ up now
we gotta show them feel me
Look at us go look at me go
심장은 Fast 뜨거워 데임
외쳐봐 너의 얘기를
시작해 우린 준비돼 있어

See me see me
터지는 Colorful lights
Warning 모든 걸 보여줘 Wild
Ready or not
등장을 알리는 Siren siren
우린 네 심장을 뒤흔드는 Rock

Pull it back, that siren
Pull it back, that siren
서둘러 Hurry hurry
다 모여봐 이리로
We gonna fly high high
자유롭게 더
Pull it back, that siren

Beat droppin’ low feelin’ up
뒤섞여 봐 완전히 새로운 Flow
Let’s get it go
we won’t be stoppin’

Pull it back, that siren
Pull it back, that siren
서둘러 Hurry hurry
다 모여봐 이리로
We gonna fly high high
자유롭게 더
Pull it back, that siren"
3,Happy ending,그라나다 (GRANADA),"꼬일대로 꼬여버린
망한 인생 같아도
해도해도 안된다고
누가 말해도
다 집어치워 다 zip it up
다 집어치워 다 zip it up
신경 쓸 필요 없잖아 다 zip it up

흥부도 부자되고 제비도 다리낫고
모두모두 해피엔딩
물에 빠져도 살아난 심청이
딸 찾은 심봉사 눈 뜨고!
달라도 같은 얘기
제각기 해피엔딩
결국엔 결국엔
다 해피엔딩

다 다 해피엔딩
다 다 해피엔딩

시련 고난 실패 좌절
다 무찌르고 해피엔딩
눈물이 강물 되어도
행복이라는 바다로 나는
해피엔딩
고민은 다 다 zip it up
걱정은 다 다 zip it up
신경 쓸 필요 없잖아 다 zip it up

쑥대머리 춘향이도 해피엔딩
한양서 돌아온 이몽룡이
암행어사 출두로 해피엔딩
달라도 같은 얘기
제각기 해피엔딩
결국엔 결국엔
다 해피엔딩

다 다 해피엔딩
다 다 해피엔딩

다 다 해피엔딩
다 다 해피엔딩"
4,벚꽃이 내리면 둘이서,노노제이,"내게도 선물을 주세요 꽃은 됐구요
내 손위에 달콤한 초콜릿 주세요
나도 이제 함께 걷고 싶어

벚꽃이 내리면 둘이서 버스를 타고
도시를 나와
멋진 스포츠 카는 넥스트
시원한 커피를 마셔

리필 한 잔 두 그저 너랑 나랑
잔 눈부신 햇살은 나의 그녀 미소
부서지는 햇살 뷰티 벚꽃 댄스
고백해 나의 러브

저 친구 멋진 차 그림의 킹 빵
나 보고 힘내라 어색 그녀 응원
한대 두대 모두 부럽지만 내겐
더 큰 나의 그녀

벚꽃이 시작이야 넌샌스야
용기가 되어 너를 찾아
저하늘 아래 저 강물위에
내 꿈이 펼쳐저
나를 바라보는 미소짓는
그녀의 눈동자 사랑해
웃음이 나와 멍해진데도
이제 시작일뿐

내게도 선물을 주세요 꽃은 됐구요
내 손위에 달콤한 초콜릿 주세요
나도 이제 함께 걷고 싶어

벚꽃이 내리면 둘이서 버스를 타고
도시를 나와
멋진 스포츠 카는 넥스트
시원한 커피를 마셔

떨어지는 벚꽃 모아 나의 그녀
머리위에 모아 설레는 이기분
이만큼 한가득 담아 뿌려봐요
나의 미래의 허
꿈만 있는 영건 청춘 소년 소녀
이 친구는 정말 행복해요 지금
달콤한 초콜릿 벚꽃의 앙상블
미래의 뮤직 파티

벚꽃이 떨어지면 너와 함께
화이트 발걸음에 맞춰
향기를 타고 바람을 따라
우리의 시간을
나를 바라보는 웃음짓는
니 모습에 나 심쿵해져
눈물이 나와 웃음이 나와
내게로 다가와

우리도 사랑을 얘기해
하늘만 봐도 웃음이 나
벚꽃이 내리면 둘이서
사랑을 가득 담아요
벚꽃이 내리면 둘이서
버스틀 타고 도시를 나와
벚꽃이 내리면 둘이서
시원한 커피를 마셔"
5,Zing Zing Zing,써밋플레이,"Pick up the phone, why you leavin' it ringin'?
Got stacks of work here, just beginning.
Ignoring calls, what you thinkin'?
Diving deep, without even blinkin'.
You're chilling out, but what about me?
If you don't pick up, what's it gonna be?
Got the boss on my back, can't you see?
I'm in trouble, it's a plea, a decree.
Zing-zing-zing-zing-zing, the phone keeps on ringing,
Zing-zing-zing, my frustration's singing.
Zing-zing-zing, can't you hear me calling?
Zing-zing-zing into chaos, we're falling.
Zing-zing-zing, the phone keeps on ringing,
Zing-zing-zing my frustration's singing.
Zing-zing-zing can't you hear me calling?
Zing-zing-zing, into chaos, we're falling.
You're playing it cool, but I'm out here drowning,
Boss is on the hunt, his anger's frowning.
I'm the one stuck, your actions disavowing,
Time's running out, my anxiety's crowning.
Can't dodge this bullet, it's not just about you,
A team in turmoil, what we gonna do?
Pick up the pace, and answer, won't you?
This mess we're in, we need to break through.
Zing-zing-zing-zing-zing,, hear the urgent pleadin
Zing-zing-zing, it's you that we're needing.
Zing-zing-zing my calls you're not heeding,
Zing-zing-zing , it's our bond that's bleeding.
Zing-zing-zing Echoes in the silence, where have you gone?
Lost in the void, but we have to move on.
Voices raised in despair, it's all wrong,
But the bell still rings
Zing-zing-zing the aftermath's quiet,
Zing-zing-zing, we've survived the riot.
Zing-zing-zing no use to deny it,
Zing-zing-zing- it's time to defy it.
Zing-zing-zing-zing, the aftermath's quiet,
Zing-zing-zing, the aftermath's quiet,
Zing-zing-zing, we've survived the riot.
Zing-zing-zing, no use to deny it,
Zing-zing-zing, it's time to defy it."
6,News,Monochrome,"In the flow of news, the world moves on,
Amidst the bustling world, we stand strong.
Yet in our hearts, a greater story lies,
A journey where our dreams arise.

Amidst the sway of press and strife,
We hold onto the beacon of life.
For in our hands, the future lies,
We march ahead, beneath the skies.

Riding the waves of news we soar,
Nurturing dreams, opening the door.
Believing in the power to change the game,
We sing our song, unbound by fame.

Conflict abounds, selfishness prevails,
Yet we aim high, as courage entails.
In this journey to the heights we soar,
Together, we strive for something more.

Truth shines bright, piercing through,
Our voices echo, ringing true.
We sing the anthem of change tonight,
Guided by stars, in the darkest night.

Riding the waves of news we soar,
Nurturing dreams, opening the door.
Believing in the power to change the game,
We sing our song, unbound by fame."
7,Pause,CHIMIRO,"When I oneday with spring breeze
매일 걷던 길을 홀로 거닌 함께 거닌

붉은 신호등에 멈춰 선 채
익숙했던 그 향기는 너니 정말 너니

Woo Woo hoo Woo Woo hoo Woo Woo hoo 멍한 시선
Woo Woo hoo Woo Woo hoo Woo Woo hoo 멈춘 시간

떠나버린 그 기억에 눈물이 흘러도
먼지처럼 날아갔던 우리의 기억들
내 눈앞에 굳어버린 너의 시선도
하고 싶은 말들마저 돌이킬 수 없는


파란 시그널이 번쩍여도
바뀌지 않는 우리의 거리 지금 거리

너와 내가 했던 약속들은
파편이 돼 박혀서는 Bloody 지금 여기

Woo Woo hoo Woo Woo hoo Woo Woo hoo 멈춰버린
Woo Woo hoo Woo Woo hoo Woo Woo hoo 갇힌 시간

까마득한 머릿속에 굳어 버린 채
흘러버린 시간 속에 말조차 못 하고
잊으려고 애써봐도 소용없는 걸
지우려고 애써봐도 돌이킬 수 없는

떠나버린 그 기억에 눈물이 흘러도
먼지처럼 날아갔던 우리의 기억들
내 눈앞에 굳어버린 너의 시선도
하고 싶은 말들마저 돌이킬 수 없는"
8,U Know What The Pet Wants?,What The Pet,"왓 왓 왓 왓 왓 왓더펫 원츠 (반복)
왓 왓 왓 왓 왓 왓더펫 원츠 (반복)
왓 왓 왓 왓 왓 왓더펫 원츠 (반복)
왓 왓 왓 왓 왓 왓더펫 원츠 (반복)
왓 왓 왓 왓 왓 왓더펫 원츠 (반복)
왓 왓 왓 왓 왓 왓더펫 원츠 (반복)
왓 왓 왓 왓 왓 왓더펫 원츠 (반복)
왓 왓 왓 왓 왓 왓더펫 원츠 (반복)
왓 왓 왓 왓 왓 왓더펫 원츠 (반복)
왓 왓 왓 왓 왓 왓더펫 원츠 (반복)
왓 왓 왓 왓 왓 왓더펫 원츠 (반복)
왓 왓 왓 왓 왓 왓더펫 원츠 (반복)
왓 왓 왓 왓 왓 왓더펫 원츠 (반복)
왓 왓 왓 왓 왓 왓더펫 원츠 (반복)
왓 왓 왓 왓 왓 왓더펫 원츠 (반복)
왓 왓 왓 왓 왓 왓더펫 원츠 (반복)"
9,OoWee,NOWADAYS,"OoWee!

고장났어 Break my heartbeat, what’s real?
번쩍 튀는 Spark, error sign, I can’t chill
주체 못 해 내 몸이 귓불은 빨개지지 Burning
뜨거 One hunnit 더 다가와 Want it

심장 소리 더 빨라져 두 배로
또 제멋대로 발이 움직여 너에게로
근거 없는 자신감 But 과감하게 Step
But 싫지 않은 떨림 Yeah

Keep cool 낯선 감정들의 Guerrilla
Careful 불안함은 전부 Get it out
네 마음이 가는 대로 Oh

꿈이었다 해도 선명한데 Yeah
상상해 봐 Lover 설렘을 Bang! Yeah
Ready to go! Ready to go!
Watch out L.U.V

외치게 해

OoWee!
What you lookin' at
What you lookin' at
너만 보면 내 심장이 미쳐
OoWee!
What you waiting for
What you waiting for
이런 내 맘을 감당 못 해 미쳐

이미 네게 뺏겨 버린
아직 조금 서툰 마음이
들리니 지금 내 Heartbeat
터지기 전에 NOW NOW NOW hey!

Picky picky, I’m a little psycho
Get it get it 널 보면 Light bulb
Remake 네게로 매료돼 Hype girl
Hurry! I got a new thing

짜릿한 그 맛을 원해 Like a lemonade
처음 보는 Feeling 지금 널 볼 때도 Huh
네가 있다면 어디든 Go
분명 달라 달라 이런 건 처음이야

Stage 1 좀 더 자연스레 다가가
Stage 2 눈이 마주치는 순간 “Hi~”
입꼬리를 올려 웃어 More more

꿈이 아니라고 말해 줘 Friends
떨린 맘을 넘어 더 빠져가 Babe
Ready to go! Ready to go!
Watch out L.U.V

외치게 해

OoWee!
What you lookin' at
What you lookin' at
너만 보면 내 심장이 미쳐
OoWee!
What you waiting for
What you waiting for
이런 내 맘을 감당 못 해 미쳐

이미 네게 뺏겨 버린
아직 조금 서툰 마음이
들리니 지금 내 Heartbeat
터지기 전에 NOW NOW NOW, hey!

Talk to me, talk to me 고백할게
더 깊이 더 깊이 빠져드는 순간
눈을 감아도 너만 보여 Why

Tick tock 부딪혀 그냥 Getting over
Pit-a-Pat 감추지 말고 달려 어서
상상 그 이상일 걸
If you wanna 빠져들어 더 깊게

OoWee!
What you lookin' at
What you lookin' at
너만 보면 내 심장이 미쳐
OoWee!
What you waiting for
What you waiting for
이런 내 맘을 감당 못 해 미쳐

아름다워 온 세상이
멈춰버린 듯한 떨림
널 향해 불붙은 Heartbeat
터지기 전에 NOW NOW NOW hey!"
