,Unnamed: 0,title,artist,lyric
0,0,12,오스터존 (OSTERJON),"못 받은 전화 미안하지만
새하얀 세상과 난 어울리지 않아
난 괜찮은데 왜 그런 표정 해
돌아보지 말고 떠나가면 돼

새어 들어오는 바람 결국 너도
따뜻하길 바란 걸까 싶어 쳐놓은 커튼을 걷어
잠도 덜 깬 채 어질러진 방을 보고 있을 땐
괜찮은 건지 궁금해

창밖에 선 늘 보던 나무가
왠지 유난히 멋지게 보여
보다 보면 느껴지는 게 있어
너도 같은 마음이면 해서 불러

미련 없이 놔버리는 순간
너가 내게 남긴 의미들 다 모두 결국
사라져버리는 걸까 겁나
아름다운 결말을 바란 내가 못난 걸까

창밖에 선 늘 보던 나무가
왠지 유난히 멋지게 보여
보다 보면 느껴지는 게 있어
너도 같은 마음이면 해서 불러"
1,1,개화,청슬 (ChungSeul),"우연히 찾아온 너란 큰 세상 속에
두 눈을 감고서 온전히 널 느껴

쓰린 아픔들도 서서히 아물어가
눈을 뜨니 앞엔 네가 보여

나의 공간 속에 드리운 너의 온기에
시들어 버린 내 맘은 꽃을 피우고

찬란하고도 아름다운 순간이야
이대로 네게 잠겨

간절히 바래왔던 너와 이 순간이
영원히 끝나지 않는 시간이 되어
애타게 서로의 마음을 모두 모아
끝까지 이어지길

익숙한 기억처럼 따스한 품속에
조용히 놓아둔 나의 마음을 피워
애타게 서로의 마음을 모두 모아
끝까지 피어나길 바래

어느새 다가온 너라는 벅찬 계절
커다란 세상 속 난 감히 눈을 떠

설명할 수 없는 감촉들과 모든 게
마치 그려놓은 풍경화 같아

나의 공간 속에 드리운 너의 계절에
시들어 버린 내 맘은 꽃을 피우고

찬란하고도 아름다운 순간이야
이대로 네게 잠겨

간절히 바래왔던 너와 이 순간이
영원히 끝나지 않는 시간이 되어
애타게 서로의 마음을 모두 모아
끝까지 이어지길

간절한 마음속에 피운 모든 날이
가득 짙어진 나만의 계절이 되어
애타게 서로의 마음을 모두 모아
끝까지 이어지길

익숙한 기억처럼 따스한 품속에
조용히 놓아둔 나의 마음을 피워
애타게 서로의 마음을 모두 모아
끝까지 피어나길 바래"
2,2,흐르는 대로,Adios Audio,"흐르는 대로 드리운 대로 느끼는 대로

지독하리 찌는 기분
흩어지지 못하는 개미
끈적하게 엉킨 타래
숨 막히는 향연
사이사이 숨어 들어가 사이사이 녹아들어 가
반짝반짝 둘 하나가 되어

흐르는 대로 드리운 대로 느끼는 대로

꼬여 드는 그림자들
오도카니 바라보다
비릿하게 새어 나온
웃음 주워 그림자 속으로

흐르는 대로 드리운 대로 느끼는 대로
흐르는 대로 드리운 대로 느끼는 대로
(흐르는 대로 드리운 대로 느끼는 대로)
흐르는 대로 드리운 대로 느끼는 대로
흐르는 대로 드리운 대로 느끼는 대로
(흐르는 대로 드리운 대로 느끼는 대로)"
3,3,돼지와 함께 춤을,리얼프로그,"나의 현실은 쓰라리곤 아팠고
우린 쏟아져내렸어
구멍 난 하루의 나의 모든 파란을 담아줘
이젠 너무 지쳐 애써 모른 척
시선을 돌리고 비가 내리는 날에
난 떠나렵니다

내 어깨 떨어진 비와 함께 춤을 쳐줘
메마른 거리에 남은 그댄 거기 그대로 있어줘
정신없이 뛰는 밤에는 우리의 두 발을 맞춰줘
비 내리는 미친 날에는 나와 함께 춤을 쳐줘

내 어깨 떨어진 비와 함께 춤을 쳐줘
메마른 거리에 남은 그댄 거기 그대로 있어줘
정신없이 뛰는 밤에는 우리의 두 발을 맞춰줘
비 내리는 미친 날에는 나와 함께 춤을 쳐줘"
4,4,Horizon (수평선),Vanillare (바닐레어),"Just set me free
From all the messes you’re in
Must set me free
From all the messes you gave

끝날 듯 끝나지 않는 지겨운 삶의 연속에
죽음이 아닌 평온이 오기를 바라요
그만 떠날래 이제는 말하기도 지치네요
아무 예고 없이 사라질래

수평선 끝에 저물어져 가는
노을을 보며 난 영원히 쉴래요
언제쯤 집을 찾을 수 있을지
또 묻지만, 답을 들을 수 없어요

끝날 듯 끝나지 않는 지겨운 인간들 속은
숨 쉴 공간조차 없게 느껴지네요
가질 듯 갖지 못한 내 입가의 미소가 사라져요
그만 떠날래 이제는 말하기도 지치네요
아무 예고 없이 사라질래

수평선 끝에 저물어져 가는
노을을 보며 난 영원히 쉴래요
언제쯤 집을 찾을 수 있을지
또 묻지만, 답을 들을 수 없어요

Sometimes I wish that
I Could open up your eyes
So you could suffer even more
I’ll see you deeply fall
While I smile here in peace
I wish you the worst

수평선 끝에 저물어져 가는
노을을 보며 난 영원히 쉴래요
언제쯤 집을 찾을 수 있을지
또 묻지만, 답을 들을 수 없어요"
5,5,일기장,COOMO,"""좋아하는 색과 맛 그리고 옷차림까지
지난 감정과 추억 그날의 제목과 날씨들

좋았던 그리 아팠던 내 모든 것들을
끄적끄적 서툰 나만의 체로 써내리곤 해

울기도 웃기도 그리워하기도
참 많이도 지나오니 드디어 넘겨보네

부끄러워 숨겨뒀던 내 맘의 열쇨 꺼내
잠시 열고 오늘만은 나 빠져보려해
Woo woo Umm yeah Umm
매일 듣던 멜로디 그리고 가사들까지
모진 낱말과 말투 그날 흘린 눈물들

좋았던 그리 아팠던 내 모든 것들을
끄적끄적 서툰 나만의 체로 써내리곤 해

울기도 웃기도 그리워하기도
참 많이도 지나오니 드디어 넘겨보네

부끄러워 숨겨뒀던 내 맘의 열쇨 꺼내
잠시 열고 오늘만은 나 빠져보려해
나만 아는 나만 모르던
일기장 속 날 꺼내고선

이리도 행복했나 이만큼 아팠었나

이젠 추스려버린 수 없는 감정들을
Bye bye 나만 아는 날 이제 묻어보네 Smile

울기도 웃기도 그리워하기도
참 많이도 지나오니 드디어 넘겨보네

부끄러워 숨겨뒀던 내 맘의 열쇨 꺼내
잠시 열고 오늘만은 나 빠져보려해

울기도 웃기도 그리워하기도
참 많이도 지나오니 드디어 넘겨보네

부끄러워 숨겨뒀던 내 맘의 열쇨꺼내
잠시 열고 오늘만은 나 빠져보려해"""
6,6,Gray,김재인,"What is the right way to go
The better decision to make
Cause whichever way that you go
They always have something else they gotta say
I guess I’ll just stay

I’m lost in the gray

I wanted to keep my ground
I didn’t care what they said
But each step I take I become
So more and more unsure about my ways
I guess I’ll just stay

I’m lost in the gray

Questions are tearing me apart
One after another path to part
Show me the answers that I need
I need them now

I’m lost in the gray
I’m lost in the gray
I’m lost in the gray
I’m lost in the gray

Questions are tearing me apart
One after another path to part
Show me the answers that I need
I need them now

Questions are tearing me apart
One after another path to part
I‘m lost in the gray alone I need
help I need it now"
7,7,신이시여 저를 살려주시오,원룸소년단,"헤이!
버스에 탔는데 급똥이 왔다~
아~ 이것 참 못 참겠네~
아~~~아~~~ 어떡해 어떡해 어떡해 어떡해~
기사님 기사님!
제 목소리 들리시나요 기사님!
급똥은 신이와도 못피한다네
신이시여 저를 살려주시오~오오~~

신이시어
신이시어
저를
저를
살려주
살려주
시오
시오

시험을 보는데 급똥이 왔다~
아~ 이것 참 못 참겠네~
아~~~아~~~ 어떡해 어떡해 어떡해 어떡해~
선생님 선생님
제 목소리 들리시나요 선생님
급똥은 신이와도 못피한다네~
신이시여 저를 살려주시오~~

신이시어
신이시어
저를
저를
살려주
살려주
시오
시오"
8,8,Stranger,Leon,"Slow drive on highway
We need no fast lane

We all in racing
All the blinds, only look aside

Stranger from neighbor
Look I am free, there ain’t no loneliness
Danger from sugar
I won’t even wish for the same as you

turn on your light bulb
Wondering where the hell are you,
What’s going on now

Break out in the rain
Easing away
Chasing your sun, boy
Follow your own track, your sun
Drive it away,
Even if it makes you bad

Stranger from neighbor
Look I am free, there ain’t no loneliness
Danger from sugar
I won’t even wish for the same as you

Break out in the rain
Easing away
Chasing your sun, boy
Follow your own track, your sun
Drive it away,
Even if it makes you bad

Break out in the rain
Easing away
Chasing your sun, boy
Follow your own track, your sun
Drive it away,
Even if it makes you bad"
9,9,건강을 위하여,아나킨프로젝트,"피곤 피곤이 가시지 않을땐 (오렌지 오렌지)
위궤 위궤양이라면 (양배추 양배추)
치질 예방하시려면 ( 무화과 무화과)
생강 구역질날때는 생강 스트레스받을때는 바나나 요통을 없애주는 감자
곰팡이감염억제 마늘 혈압을 낮춰준다 건포도
배앓이때문에 구역질, 두통을 줄여주는 바질
콜레스테롤이 높을땐 배~ 기침이 심할때는
꿀~ 소화성 경련염증일때는 캐모마일
변비와 복부 팽만감 장내 가스제거에는 요구르트
미네랄 콩팥에 쌓여 결석 생기는걸 막아주는 살구 참치는 세로토닌 호르몬 생성을 돋궈주는데 참 효과적인 참치회

만성 염증 퇴치를 위한 식습관은
주로 등 푸른 생선에 많이 함유된 D H A D H A
그 등 푸른 생선이라 함은 고 등 어 고 등 어
두뇌에 좋은 영양소
오 메가쓰리 오 메가쓰리

No탕후루 (No time for you)
No마라탕 (No matter what)
No라면 (No ramen)
No콜라 (No cola) ×2

Yes×4 흔들어 Yes×2 ah Yeah!
Yes×3 yeyeye yes!

(댄스타임)

토마토 좋은거 아시죠? 정확히 뭐가 좋은지 모르시죠? 라이코펜 성분이 건강에 이로운 여러 기능을 합니다
가열하거나 올리브유등과 함께 먹으면 라이코펜이 증가~ 한다~ 고 합니다.
수분과 섬유질이 풍부하기때문에 칼로리와 당 함량이 낮기 때문에~
영양소가 풍부한 반면 식단에 자주 올라오지 않아
식단에 자주 올려주세요~
토마토 피부에 좋은거 아시죠? 베타카로틴이 태양으로부터 피부를 보호해줘 라이코펜이 손상된 피부와 주름을 개선시켜~

오 메가쓰리 오 메가쓰리

No탕후루 (No time for you)
No마라탕 (No matter what)
No라면 (No ramen)
No콜라 (No cola) ×2
Yes×4 whoooo Yes yeyeye yes!

노화유발 디엔에이손상 활성산소를 억제해주는군 체내 바이러스 세균침입 막아줘요
면역력에 짱
라이코펜친구들 칠면조친구들
불로초친구들 불사의 영약들
라이코펜친구들 칠면조친구들
불로초친구들 불사의 명약들"
