,Unnamed: 0,title,artist,lyric,genre
0,0,Reset,선재 (snzae),"I ain't waiting for your care
다 귀찮아 dizzy calls
일단 잠시 멀리


We want a reset
Every pains gonna hoppin’, regret
Dizzy fail fuzzy dreams
Wrong, mistakes
Back all pains and greeds
Regret


It's gonna rainy day
If you stand in a rain, spend your all day
Dance in a rain, you can do that
Back all pains and greeds
Reset


New choice, oh
Reset


Heart, starts, run
Reset


Plans gotta work
This time


Reset
Pains and greeds
Regret


Reset
Heart, starts, run


We want a reset
Every pains gonna hoppin’, regret
Dizzy fail fuzzy dreams
Wrong, mistakes
Back all pains and greeds
Regret


It's gonna rainy day
If you stand in a rain, spend your all day
Dance in a rain, you can do that
Back all pains and greeds
Regret


Don`t make me start
Pains and greeds
Regret


You",hiphop
1,1,Tip Toe,EUNSAN,"oh baby girl I'll never let you go
너 없인 못사는 놈인걸
왜이리 완벽해 Head to toe
그런 너에게 다가가는 건 쉽지 않으니
여기 멀리서 지켜 보기만 했지
널 떠올리기도 했었지
나 살 수 없었지 거진
oh 넌 10 out of 10
is it OK till 9 AM?
너와 이 밤을 전부 spend
저 달이 모습을 감출 때까지
내 품에 안긴 너를 이렇게 뚫어져라 stare
여전히 널 향해 있는 걸음
baby girl you just got me crazy
머리 속에 all night long
you the only one I love
oh, where did you go my love?
그때 했었던 말도
it ain't no one night love
이렇게 더 안겨 있으면 돼
The only one is you, babe
네 mood 안 좋은 날도
너에게로 tip tip toe
why is our distance far away?
더 가까이 가도 돼?
이렇게 붙어 있어도 돼?
잠들기 전 pillow talking
Girl, you are so lovely?
너무 과해 머리가 어질
부담 느꼈음 sorry
너에게 tip toe 나 tip tip toe
시침은 tik tok oh tik tik tok
너에게 deep 더 deep 더
난 더 tip toe oh tip tip toe
24/7 vibing
떨어져 있을때도 마음엔
너가 있지 what you want? yeah
i don't know what you want from me
like 100 carat diamond
쳐다 볼 수 없이 shining
훅 가사처럼 deep dive in to you
이렇게 두발은 oh tip toe
잠들기 전 했던 그때 우리의 pilow talk
why is our distance far away?
시침은 tik tok 잠들 시간 아까워
feels like I won a lotto
볼 수 있을까 tomorrow
머리 속에 all night long
you the only one I love
oh, where did you go my love?
그때 했었던 말도
it ain't no one night love
이렇게 더 안겨 있으면 돼
The only one is you, babe
네 mood 안 좋은 날도
너에게로 tip tip toe
why is our distance far away?
더 가까이 가도 돼?
이렇게 붙어 있어도 돼?
잠들기 전 pillow talking
Girl, you are so lovely?
너무 과해 머리가 어질
부담 느꼈음 sorry
너에게 tip toe 나 tip tip toe
시침은 tik tok oh tik tik tok
너에게 deep 더 deep 더
난 더 tip toe oh tip tip toe
너에게로 tip tip toe
why is our distance far away?
더 가까이 가도 돼?
이렇게 붙어 있어도 돼?
잠들기 전 pillow talking
Girl, you are so lovely?
너무 과해 머리가 어질
부담 느꼈음 sorry",hiphop
2,2,와사비가 최고야,projectsummit,"완전 와사비 중독 나
코에서 뻥 나오는 매콤한 향기
혀끝에서 터지는 톡 쏘는 맛에
아 미쳐버릴 것 같아 헤헷
일식 먹으러 가면 필수 챙겨야지
와사비 없이는 한 입도 못 삼켜
회 한점 와사비에 곁들이지 않고
입에 넣을 순 없는 중독 바디
초밥집 와사비 양을 늘려달래
점점 더 강렬한 맛을 즐겨
그 알싸한 맛 없인 섭섭해져
와사비에 푹 젖어버린 내 인생
완전 와사비 중독 나
코에서 뻥 나오는 매콤한 향기
혀끝에서 터지는 톡 쏘는 맛에
아 미쳐버릴 것 같아 헤헷
친구들이 맵다고 와사비 곁들이기 싫대
그럼 넓적와사비는 어때 이 바보들아
알싸한 맛 강약 조절할 수 있잖아
이 건만 먹어도 나 충분해 허허
뭐 먹어도 와사비에 찍어 먹는 중독자
한번 맛 들이면 헤어나올 수가 없대
친구들은 고개 절레절레 저어하지만
와사비 없인 못살아 난 오직 와사비
완전 와사비 중독 나
코에서 뻥 나오는 매콤한 향기
혀끝에서 터지는 톡 쏘는 맛에
아 미쳐버릴 것 같아 헤헷
입에서 톡톡 터지는 맛에 행복해져
이 맛에 푹 젖어 더는 헤어 나올 순 없네
와사비 없이는 못살아 완전 미쳐버렸어
누가 뭐래도 난 와사비가 최고야",hiphop
3,3,Black Card,summitmusic,"Yeah, we living that black card life, you know?
Unlimited, untraceable, unstoppable. Let's get it.

부터 내 손안엔 늘 black card, 한계란 없어
내 꿈들을 채우는 black cash, 경계선을 넘어
빛나는 black car, 그림자 속을 삼켜

속삭이는 black box, 비밀들을 감춰어릴 적부터 손에 쥐었던 그 카드로
세상 모든 걸 것으로 비밀들을 감춰 어릴적부터 손에 쥐었던 그 카드로
세상모든걸 내 것으로 만들어
뭐든 원하는 대로, 먹고 싶은 것도
쓸어 담고, 긁고, 흔들어대, 무한대로

나는 있지, black card, 그 속엔 끝이 없어
Black cash, 거침없이 쓸어 담고
Black car, 길을 달리며 모두를 압도해
Black box, 내 손안의 미스테리야

부터 꿈꾸던 생활, black card의 리듬 타고
한계란 무엇인가? 질문조차 사치스러워
Black cash로 세상을 내 맘대로 그려
그림자를 밝히는 black car의 헤드라이트질주하는 밤, 내 모든 건 하나의 art
끝없는 한도, black box의 마법 같은 start
Black card 하나로, 세상의 모든 문을 열어
가진 걸로, 난 스타일을 만들어, 리듬을 느껴


나는 있지, black card, 한계는 없어, 파
Black cash, 스윽 쓸어 담는 magic
Black car, 거리를 질주하는 comet
Black box, 손 안의 무한한 power

Black card 생활, 매일이 highlight
한도 없는 밤, 우리만의 flight
Black cash, black car, 모든 걸 넘어
Black box 속 꿈들, 이젠 take off

나는 있지, black card, 그 속엔 끝이 없어
Black cash, 거침없이 쓸어 담고
Black car, 길을 달리며 모두를 압도해
Black box, 내 손안의 미스테리야

Black card와 함께, 난 세상을 가졌어
Unlimited dreams, yeah we cashed out
Black card, black cash, black car, 그리고 black box
우리의 삶, 우리의 규칙, 우리의 게임",hiphop
4,4,southside,이효승,"iam from south side
cappers 전부 박살 (박살)
rap money 땡겨 벌어서
pop star, rock star, hiphopstar
(ah yeah)

iam from south side
cappers 전부 박살 (박살)
rap money 땡겨 벌어서
pop star, rock star, hiphopstar
(ah yeah)

doing like me 넌 기절
내가 뱉는 건 멋이죠
yeah cartier 차가워서
여름에도 몽클레어 (bling)

추위에 적응 안한 부산인
근데 왼쪽 팔엔 동상 걸려
못해 결혼반지

결론 아직 시작도 안 했고
나 영국 입는 부산 boy (b-site)
바지 from italy but
이대호 문재인 경남고

makit louder makit flow
shout out 하지 대신동
젤 신나 보여 아무나 잡고
나는 해버릴래 twerk

길거리에서 마주치면 악수
되길 원한다니까 만수르
opps 이거 잡수고
top boy 내 거 수고

남쪽 소년 대한민국
뱉을 때는 마치 미국
02년도처럼 노래 듣고
짝 짝 짝 짝 짝

iam from south side
cappers 전부 박살 (박살)
rap money 땡겨 벌어서
pop star, rock star, hiphopstar
(ah yeah)

iam from south side
cappers 전부 박살 (박살)
rap money 땡겨 벌어서
pop star, rock star, hiphopstar
(ah yeah)

머리에 삐 소리 날 때까지 외쳤어 south side
손담비처럼 난 미쳤어 내 편이 아님 걍 밟아

뻔한 사랑 노래 푼돈 벌어놓고 또 자랑하게?
더 자랑하게?
지네 끼리끼리 공론하지 탁상
비빈다면 큰 착각

나 따라 올람 다 두 배로 work
그때 나 쉬겠니? 네 배로 뛰어
쉬운 게 어딨어 d에 둬 기어
다시가 어딨어 뒤에서 기어

남포, 대신동 대표할래 부산
대기업 사장님 해 투자
** 부자 아님 죽자
z4 타고 skrr skrr

어 난 싫어 친구 못해 걔넨 척
겨우 할 때 너 난 잡고 있다고 폼

남쪽 소년 대한민국
뱉을 때는 마치 미국
02년도처럼 노래 듣고
짝 짝 짝 짝 짝

iam from south side
cappers 전부 박살 (박살)
rap money 땡겨 벌어서
pop star, rock star, hiphopstar
(ah yeah)

iam from south side
cappers 전부 박살 (박살)
rap money 땡겨 벌어서
pop star, rock star, hiphopstar
(ah yeah)",hiphop
5,5,플레이더게임 (Play The Game),21hee,"전장의 마에스트로 And Im stronger than you
걱정 덜어둬 힘 빼고 한데두
3대500 태생부터 남다른 핏줄
넘쳐나는 자신감에 건방져지는 중
QWER 빼고 나머지 키캡 싹다 빼
집에 갈수 있는 건 오직 내가 죽었을 때
나는 원해 하늘 위에 우뚝 솟은 왕좌
수준 다른 각오로 임해 목표만 바라봐
Play The Game Play The Game
Play The Game Play The Game
Gang 협곡의 팀 상대는 없지 Bang 과시해 힘
내가 바로 Only the one original king
Play The Game Play The Game
Play The Game Play The Game
Gang 협곡의 팀 상대는 없지 Bang 과시해 힘
내가 바로 Only the one original king
도로를 달리는 Car 멀쩡할 날이 없는 흠집 가득한 범퍼
차체에 가득 찬 스크레치 자제 못해 내 본성
분노를 연료로 Go 부모님 쉬쉬해 날
언제쯤 철들래 넌? 한귀로 듣고 흘렸지 난
코리아 Gang 너넨 절대 추적 못해 내 IP
해커도 두손 두발 드는 한컴 키보드 타이핑
나르는 탄들을 피해 밑으로 수그려 은폐를 해
적들을 관통할 한발의 총알이 돼 정조준 Bang
Play The Game Play The Game
Play The Game Play The Game
Gang 협곡의 팀 상대는 없지 Bang 과시해 힘
내가 바로 Only the one original king
Play The Game Play The Game
Play The Game Play The Game
Gang 협곡의 팀 상대는 없지 Bang 과시해 힘
내가 바로 Only the one original king",hiphop
6,6,"Royal (feat. 파란(PARAN),나길리(Na Gili))",D.hyeon,"아스팔트 밑에서 고급 오피스텔 꼭대기
이 말이 실현되기 전까지
포기란 없단 생각으로
앞으로만 쭉 끝까지 가지
어릴 적 성공을 위한 다짐
꺾일 뻔했지만 아직
한 발 남았다 마치 원빈
언젠간 내게 내리겠지 봄비
많은 일들이 겹쳐
몇 백 번이고 난 벙쪄
머릿속엔 가득했던 걱정
무색할 정도로 더 벌어
New self made orange
우리가 될 테니
되바라진 애들에겐
날리지 경고를
견고해진 나에겐
타격이 없는 네 얘기
깡도 멋도 없는 너에게는 발언권이 전혀 없어
매번 놀기만 하는 너네와는 차이가 나지 벌써
인정을 못 한다면 **야 너는 이미 졌어
난 자기 객관화를 한 다음 처음부터 다시 기었어
텅빈 방 안엔
장비 하나 없던 꼬맹이 that’s me
이뤄내고 있어 for rank
난 더 원해
그렇기에 만들어낼
we making royal
woah - woah
we making royal
woah - woah
yo yo yo yo 무시 받던 과거는 이제 잊고
시련을 딛고 난 보여줄 때
내게 익숙하기만 했던 ‘패’들은
뜻이 달라져 가 미래 세계제‘패’
과거에 불가능하다고 생각했던 일들을 언제나 계속 해네
앨범도 제대로 안 듣는 애들이 역시 뻔하다고 말을 하네
수준 낮은 네 얘긴 안 들려
이 장르가 내 귀에 제일 끌려
나와 겸상하기에 꿀린 네 실력
랩으로 항상 죽이는 난 킬러
I'm gonna be royal
점점 가치를 높여 가
좌절했던 예전과는 달라
더 이상 없지 장난칠 시간
아무것도 없던 거기서
나만의 세상을 난 이뤄
음악에 대한 재능이 없대도
빛이 날 수 있도록 가꿔야지 yeah yeah
두 번의 실패는 없게
auto-tune 없는 랩은 안 팔린대도
내가 scene을 바꿔야지
텅빈 방 안엔
장비 하나 없던 꼬맹이 that’s me
이뤄내고 있어 for rank
난 더 원해
그렇기에 만들어낼
we making royal
woah - woah
we making royal
woah - woah
Don't push my talk 내 거 건들지 마
다 ** I'm break the galler
다 듣기 싫은 말을 주워 담아
노비에서 양반으로 Level up
이 분야에선 내가 veteran
또 가사를 뱉어 난
관심에 갈증이 나 손도 안 댔는데
머리 위에 왕관이
난 말했지 여기저기 pop out
할 때부터 난 그리 재수없나
남들이 사이좋게 붙어 아웅다웅
하고 있을 때 난 만들어 놓지 downtown
이건 mistaken 이 이야기는 고급진 rap song
불만스러운 목소리가 계속
내일이 온다면 난 pay more
I got the pay more 너가 더 원하는 만큼
어쭙잖은 **들 값을 더 해
내가 네 구세주 이 도시에
마스터키를 쥔 자를 찾네
question은 넣어둬
이 국가에서 내 명예를 찾아
내 망토에 묻은 먼지를 털어내
텅빈 방 안엔
장비 하나 없던 꼬맹이 that’s me
이뤄내고 있어 for rank
난 더 원해
그렇기에 만들어낼
we making royal
woah - woah
we making royal
woah - woah",hiphop
7,7,적색 소년(feat.Tsuku),zisokada(지속하다),"매연 속의 헤엄
녹슨물이 흐르고 전부다 몸에 베어
체인 몸에 마치 죄인 칼날들에 베어
피가 흘러대고 먼지들로 덮는법을 일찍부터 배워
태어났고 피투성이 언젠간 벗어나겠다 해도
초록색은 끈적거리듯이 내 두 발을 죄어
숨이 막히지만 태연하게 살아야해 돈 세는 기계
돈 버는 기계 정신 지체
예수 시체 팔아 집사는 새끼들에게 배워
주인들이 가르친 도덕들을 재배열
모두 다 신경 안써 중요한건 내 뱃속
바보처럼 살고있는 새끼들 체계속
밟아대고 얻어야해 돈
밟아대고 벌어야해 돈
사랑은 없다고 시발새기들은 바보
개소리에 취해있을때 걔네는 돈을 취해

병신들의 목소리
지랄 개 헛소리
필요하지 보석들이 박혀있는 목도리
먼지들을 털어내고 있어 내 몸
보석들을 채워주고 있어 내 몸
베놈 on my dick 원해 해열 하늘 위
쳐다보는 배때지 갈라
얼굴 적셔 피

좆까 나는 안 속아 시발
모자란 애들 좋다 지랄
하면서 빠는 걔네들 자지
나는 참을수가 없어 모아서 다 칼질
사기꾼 새끼들 사랑타령
세상의 전부래 나는 그런말 안따라
평생 따라가던 피리들을 부숴버릴
준비를 하고있어 새빨개진 눈을 하고 걔네 유전자를 지워

매연 속의 헤엄
녹슨물이 흐르고 전부다 몸에 베어
체인 몸에 마치 죄인 칼날들에 베어
피가 흘러대고 먼지들로 덮는법을 일찍부터 배워
태어났고 피투성이 언젠간 벗어나겠다 해도
초록색은 끈적거리듯이 내 두 발을 죄어
숨이 막히지만 태연하게 살아야해 돈 세는 기계
돈 버는 기계 정신 지체
예수 시체 팔아 집사는 새끼들에게 배워
주인들이 가르친 도덕들을 재배열
모두 다 신경 안써 중요한건 내 뱃속
바보처럼 살고있는 새끼들 체계속
밟아대고 얻어야해 돈
밟아대고 벌어야해 돈
사랑은 없다고 시발새기들은 바보
개소리에 취해있을때 걔네는 돈을 취해",hiphop
8,8,우린 눈만 봐도 알잖아,태호서울,"그녀는 말이 너무 많아
제발 아가리 좀 닥쳐 봐
그녀는 말이 너무 많아

싫은 밤이 찾아오면 그녀를 난 떠나
어제 산 게 다 기억도 안 나잖아
네 이름 말하지 마 어차피 나 몰라
자기야 우린 시간이 없잖아

아니야 여긴
내가 원하는 건 저기
너무나 멀리
이제 돼야겠어 어른이

그녀는 내가 아직도 어리길 원해
나 시간 없어
그녀한테 헤어져야겠다고 가서 전해

제발 아무 말도 하지 마
우린 눈만 봐도 알잖아
제발 아가리 좀 닥쳐 봐
우린 눈만 봐도 알잖아

어젠 모델이랑 갔어 모텔
너넨 못해 이런 걸 절대 못해
그녀는 어제 말했어 넌 나 어때
미안한데 나 너랑은 더 못 해
그녀가 남자친구한테 거짓말할 때가 좋았어
그녀가 거짓말할 때는 기분이 솔직히 좋았어
자기야 미안해 내가 거짓말은 진짜로 못해서
그녀가 나쁜 남자가 좋대 자기야 나 진짜 못됐어

우리의 말 이상하지만
사랑은 하지
사라져도 넌 내가 오기를 바랐음 해
그녀는 아이
시간이 다시 거짓말 하기
난 네가 보여 어제 같아
오늘은 더

She said it's over
gave you my heart
시간을 조여
애처럼 굴게 된 날 잡아 줘
She got me 오열
뭘 바라 또
넌 알잖아
눈만 봐도",hiphop
9,9,주인공 (feat. 295),raQoo,"Ooh I recognize the time I'd spent
모두 다 새로웠지 내 눈앞에
하루가 이제 모든게 다 뻔해
Loop 된 나의 sample들 같네

How could I 채워 나의 시간
How could I 친구들은 다들 멀리에
How could I love you 내겐 아무것도
How could I 터뜨려 firework

저 불꽃놀이 처럼 나를 비춰줘
저 불꽃이 되어 모든걸 뒤엎어
이 밤하늘은 너무 비어있어
이 밤에 길을 잃었어

난 줄곧 다시 네게 묻고
너를 또 무심코 지나치고 두리번
내 시간을 줄 곳 잃어버렸어
저물고 다시뜨는

Why I feel so blue
Why I feel so lonely
머릿속이 복잡하기만해

And where I belongs to
Where I can find you
잘은 모르겠지만 여기 빈 자리
추억 어딘가 그 사이

아주 잠깐만이라도 기다려줄래
내 얘기를 들어주지 않더라도 돼
Just tell me your story

아주 잠깐만이 지난것만 같은데
내가 지금 어디인지 모르겠어 왜
내 옆에 있어주던 너희가 없어서
내가 서있던 무대 막을 내려서

아주 멋진 꿈을 꿨지
나는 마치 주인공이지
많은 불빛 옆엔 Abyss
믿어줬지 부족한 나를

무댄 높지 눈이 부시지
하얗게 번진 많은 story
잠을 깬 뒤 잊어버릴
것만 같지 것만 같지

저기 위를 꿈을 꿨지 like a fireworks
혼자 남아 이젠 전부 떠나가는걸
뒤로 돌아 서 무너지던 널
바라보기만한 사람 바로 여기 나는 아닌지

원래 모든 기억들은 잡지 못해 외로워
Everyday it's rainy 이젠 없어 손에 umbrella
흐린 하늘 정신없이 내리는 비
에 모두 저기멀리 사라졌지

떠나 저 멀리 상처들이 showing
Then who gonna love me
Always being lonely

나혼자서 falling 채워 그 빈자릴
모든 감정 따위
모두 상관없다는 듯이

남은게 많아 밤에 떨어지는 Rain drop
알게되겠지 무뎌지는 우리가
날 바꿔놓은 새로웠던 것들 앞에
이젠 눈을감고 지나갈 때

아주 잠깐만이라도 기다려줄래
내 얘기를 들어주지 않더라도 돼
Just tell me your story

아주 잠깐만이 지난것만 같은데
내가 지금 어디인지 모르겠어 왜
내 옆에 있어주던 너희가 없어서
내가 서있던 무대 막을 내려서

아주 멋진 꿈을 꿨지
나는 마치 주인공이지
많은 불빛 옆엔 Abyss
믿어 줬지 부족한 나를

무댄 높지 눈이 부시지
하얗게 번진 많은 story
잠을 깬 뒤 잊어버릴
것만 같지 것만 같지",hiphop
